Latitude   Longitude
 -12.381    15.000
 -14.286    15.000
 -16.190    15.000
 -18.095    15.000
 -20.000    15.000
 -21.904    15.000
 -23.809    15.000
 -25.714    15.000
 -27.619    15.000
 -29.523    15.000
 -31.428    15.000
 -33.333    15.000
 -35.237    15.000
 -37.142    15.000
 -39.047    15.000
 -40.952    15.000
 -42.856    15.000
 -44.761    15.000
 -46.666    15.000
 -48.571    15.000
 -50.475    15.000
 -52.380    15.000
 -54.285    15.000
 -56.189    15.000
 -58.094    15.000
 -59.999    15.000
 -61.903    15.000
 -63.808    15.000
 -65.713    15.000
 -67.617    15.000
 -69.522    15.000
 -71.426    15.000
 -73.331    15.000
 -75.235    15.000
 -77.139    15.000
 -79.043    15.000
 -80.947    15.000
 -82.851    15.000
 -84.753    15.000
 -86.653    15.000
 -88.542    15.000
  88.542    16.875
  86.653    16.875
  84.753    16.875
  82.851    16.875
  80.947    16.875
  79.043    16.875
  77.139    16.875
  75.235    16.875
  73.331    16.875
  71.426    16.875
  69.522    16.875
  67.617    16.875
  65.713    16.875
  63.808    16.875
  61.903    16.875
  59.999    16.875
  58.094    16.875
  56.189    16.875
  54.285    16.875
  52.380    16.875
  50.475    16.875
  48.571    16.875
  46.666    16.875
  44.761    16.875
  42.856    16.875
  40.952    16.875
  39.047    16.875
  37.142    16.875
  35.237    16.875
  33.333    16.875
  31.428    16.875
  29.523    16.875
  27.619    16.875
  25.714    16.875
  23.809    16.875
  21.904    16.875
  20.000    16.875
  18.095    16.875
  16.190    16.875
  14.286    16.875
  12.381    16.875
  10.476    16.875
   8.571    16.875
   6.667    16.875
   4.762    16.875
   2.857    16.875
   0.952    16.875
  -0.952    16.875
  -2.857    16.875
  -4.762    16.875
  -6.667    16.875
  -8.571    16.875
 -10.476    16.875
 -12.381    16.875
 -14.286    16.875
 -16.190    16.875
 -18.095    16.875
 -20.000    16.875
 -21.904    16.875
 -23.809    16.875
 -25.714    16.875
 -27.619    16.875
 -29.523    16.875
 -31.428    16.875
 -33.333    16.875
 -35.237    16.875
 -37.142    16.875
 -39.047    16.875
 -40.952    16.875
 -42.856    16.875
 -44.761    16.875
 -46.666    16.875
 -48.571    16.875
 -50.475    16.875
 -52.380    16.875
 -54.285    16.875
 -56.189    16.875
 -58.094    16.875
 -59.999    16.875
 -61.903    16.875
 -63.808    16.875
 -65.713    16.875
 -67.617    16.875
 -69.522    16.875
 -71.426    16.875
 -73.331    16.875
 -75.235    16.875
 -77.139    16.875
 -79.043    16.875
 -80.947    16.875
 -82.851    16.875
 -84.753    16.875
 -86.653    16.875
 -88.542    16.875
  88.542    18.750
  86.653    18.750
  84.753    18.750
  82.851    18.750
  80.947    18.750
  79.043    18.750
  77.139    18.750
  75.235    18.750
  73.331    18.750
  71.426    18.750
  69.522    18.750
  67.617    18.750
  65.713    18.750
  63.808    18.750
  61.903    18.750
  59.999    18.750
  58.094    18.750
  56.189    18.750
  54.285    18.750
  52.380    18.750
  50.475    18.750
  48.571    18.750
  46.666    18.750
  44.761    18.750
  42.856    18.750
  40.952    18.750
  39.047    18.750
  37.142    18.750
  35.237    18.750
  33.333    18.750
  31.428    18.750
  29.523    18.750
  27.619    18.750
  25.714    18.750
  23.809    18.750
  21.904    18.750
  20.000    18.750
  18.095    18.750
  16.190    18.750
  14.286    18.750
  12.381    18.750
  10.476    18.750
   8.571    18.750
   6.667    18.750
   4.762    18.750
   2.857    18.750
   0.952    18.750
  -0.952    18.750
  -2.857    18.750
  -4.762    18.750
  -6.667    18.750
  -8.571    18.750
 -10.476    18.750
 -12.381    18.750
 -14.286    18.750
 -16.190    18.750
 -18.095    18.750
 -20.000    18.750
 -21.904    18.750
 -23.809    18.750
 -25.714    18.750
 -27.619    18.750
 -29.523    18.750
 -31.428    18.750
 -33.333    18.750
 -35.237    18.750
 -37.142    18.750
 -39.047    18.750
 -40.952    18.750
 -42.856    18.750
 -44.761    18.750
 -46.666    18.750
 -48.571    18.750
 -50.475    18.750
 -52.380    18.750
 -54.285    18.750
 -56.189    18.750
 -58.094    18.750
 -59.999    18.750
 -61.903    18.750
 -63.808    18.750
 -65.713    18.750
 -67.617    18.750
 -69.522    18.750
 -71.426    18.750
 -73.331    18.750
 -75.235    18.750
 -77.139    18.750
 -79.043    18.750
 -80.947    18.750
 -82.851    18.750
 -84.753    18.750
 -86.653    18.750
 -88.542    18.750
  88.542    20.625
  86.653    20.625
  84.753    20.625
  82.851    20.625
  80.947    20.625
  79.043    20.625
  77.139    20.625
  75.235    20.625
  73.331    20.625
  71.426    20.625
  69.522    20.625
  67.617    20.625
  65.713    20.625
  63.808    20.625
  61.903    20.625
  59.999    20.625
  58.094    20.625
  56.189    20.625
  54.285    20.625
  52.380    20.625
  50.475    20.625
  48.571    20.625
  46.666    20.625
  44.761    20.625
  42.856    20.625
  40.952    20.625
  39.047    20.625
  37.142    20.625
  35.237    20.625
  33.333    20.625
  31.428    20.625
  29.523    20.625
  27.619    20.625
  25.714    20.625
  23.809    20.625
  21.904    20.625
  20.000    20.625
  18.095    20.625
  16.190    20.625
  14.286    20.625
  12.381    20.625
  10.476    20.625
   8.571    20.625
   6.667    20.625
   4.762    20.625
   2.857    20.625
   0.952    20.625
  -0.952    20.625
  -2.857    20.625
  -4.762    20.625
  -6.667    20.625
  -8.571    20.625
 -10.476    20.625
 -12.381    20.625
 -14.286    20.625
 -16.190    20.625
 -18.095    20.625
 -20.000    20.625
 -21.904    20.625
 -23.809    20.625
 -25.714    20.625
 -27.619    20.625
 -29.523    20.625
 -31.428    20.625
 -33.333    20.625
 -35.237    20.625
 -37.142    20.625
 -39.047    20.625
 -40.952    20.625
 -42.856    20.625
 -44.761    20.625
 -46.666    20.625
 -48.571    20.625
 -50.475    20.625
 -52.380    20.625
 -54.285    20.625
 -56.189    20.625
 -58.094    20.625
 -59.999    20.625
 -61.903    20.625
 -63.808    20.625
 -65.713    20.625
 -67.617    20.625
 -69.522    20.625
 -71.426    20.625
 -73.331    20.625
 -75.235    20.625
 -77.139    20.625
 -79.043    20.625
 -80.947    20.625
 -82.851    20.625
 -84.753    20.625
 -86.653    20.625
 -88.542    20.625
  88.542    22.500
  86.653    22.500
  84.753    22.500
  82.851    22.500
  80.947    22.500
  79.043    22.500
  77.139    22.500
  75.235    22.500
  73.331    22.500
  71.426    22.500
  69.522    22.500
  67.617    22.500
  65.713    22.500
  63.808    22.500
  61.903    22.500
  59.999    22.500
  58.094    22.500
  56.189    22.500
  54.285    22.500
  52.380    22.500
  50.475    22.500
  48.571    22.500
  46.666    22.500
  44.761    22.500
  42.856    22.500
  40.952    22.500
  39.047    22.500
  37.142    22.500
  35.237    22.500
  33.333    22.500
  31.428    22.500
  29.523    22.500
  27.619    22.500
  25.714    22.500
  23.809    22.500
  21.904    22.500
  20.000    22.500
  18.095    22.500
  16.190    22.500
  14.286    22.500
  12.381    22.500
  10.476    22.500
   8.571    22.500
   6.667    22.500
   4.762    22.500
   2.857    22.500
   0.952    22.500
  -0.952    22.500
  -2.857    22.500
  -4.762    22.500
  -6.667    22.500
  -8.571    22.500
 -10.476    22.500
 -12.381    22.500
 -14.286    22.500
 -16.190    22.500
 -18.095    22.500
 -20.000    22.500
 -21.904    22.500
 -23.809    22.500
 -25.714    22.500
 -27.619    22.500
 -29.523    22.500
 -31.428    22.500
 -33.333    22.500
 -35.237    22.500
 -37.142    22.500
 -39.047    22.500
 -40.952    22.500
 -42.856    22.500
 -44.761    22.500
 -46.666    22.500
 -48.571    22.500
 -50.475    22.500
 -52.380    22.500
 -54.285    22.500
 -56.189    22.500
 -58.094    22.500
 -59.999    22.500
 -61.903    22.500
 -63.808    22.500
 -65.713    22.500
 -67.617    22.500
 -69.522    22.500
 -71.426    22.500
 -73.331    22.500
 -75.235    22.500
 -77.139    22.500
 -79.043    22.500
 -80.947    22.500
 -82.851    22.500
 -84.753    22.500
 -86.653    22.500
 -88.542    22.500
  88.542    24.375
  86.653    24.375
  84.753    24.375
  82.851    24.375
  80.947    24.375
  79.043    24.375
  77.139    24.375
  75.235    24.375
  73.331    24.375
  71.426    24.375
  69.522    24.375
  67.617    24.375
  65.713    24.375
  63.808    24.375
  61.903    24.375
  59.999    24.375
  58.094    24.375
  56.189    24.375
  54.285    24.375
  52.380    24.375
  50.475    24.375
  48.571    24.375
  46.666    24.375
  44.761    24.375
  42.856    24.375
  40.952    24.375
  39.047    24.375
  37.142    24.375
  35.237    24.375
  33.333    24.375
  31.428    24.375
  29.523    24.375
  27.619    24.375
  25.714    24.375
  23.809    24.375
  21.904    24.375
  20.000    24.375
  18.095    24.375
  16.190    24.375
  14.286    24.375
  12.381    24.375
  10.476    24.375
   8.571    24.375
   6.667    24.375
   4.762    24.375
   2.857    24.375
   0.952    24.375
  -0.952    24.375
  -2.857    24.375
  -4.762    24.375
  -6.667    24.375
  -8.571    24.375
 -10.476    24.375
 -12.381    24.375
 -14.286    24.375
 -16.190    24.375
 -18.095    24.375
 -20.000    24.375
 -21.904    24.375
 -23.809    24.375
 -25.714    24.375
 -27.619    24.375
 -29.523    24.375
 -31.428    24.375
 -33.333    24.375
 -35.237    24.375
 -37.142    24.375
 -39.047    24.375
 -40.952    24.375
 -42.856    24.375
 -44.761    24.375
 -46.666    24.375
 -48.571    24.375
 -50.475    24.375
 -52.380    24.375
 -54.285    24.375
 -56.189    24.375
 -58.094    24.375
 -59.999    24.375
 -61.903    24.375
 -63.808    24.375
 -65.713    24.375
 -67.617    24.375
 -69.522    24.375
 -71.426    24.375
 -73.331    24.375
 -75.235    24.375
 -77.139    24.375
 -79.043    24.375
 -80.947    24.375
 -82.851    24.375
 -84.753    24.375
 -86.653    24.375
 -88.542    24.375
  88.542    26.250
  86.653    26.250
  84.753    26.250
  82.851    26.250
  80.947    26.250
  79.043    26.250
  77.139    26.250
  75.235    26.250
  73.331    26.250
  71.426    26.250
  69.522    26.250
  67.617    26.250
  65.713    26.250
  63.808    26.250
  61.903    26.250
  59.999    26.250
  58.094    26.250
  56.189    26.250
  54.285    26.250
  52.380    26.250
  50.475    26.250
  48.571    26.250
  46.666    26.250
  44.761    26.250
  42.856    26.250
  40.952    26.250
  39.047    26.250
  37.142    26.250
  35.237    26.250
  33.333    26.250
  31.428    26.250
  29.523    26.250
  27.619    26.250
  25.714    26.250
  23.809    26.250
  21.904    26.250
  20.000    26.250
  18.095    26.250
  16.190    26.250
  14.286    26.250
  12.381    26.250
  10.476    26.250
   8.571    26.250
   6.667    26.250
   4.762    26.250
   2.857    26.250
   0.952    26.250
  -0.952    26.250
  -2.857    26.250
  -4.762    26.250
  -6.667    26.250
  -8.571    26.250
 -10.476    26.250
 -12.381    26.250
 -14.286    26.250
 -16.190    26.250
 -18.095    26.250
 -20.000    26.250
 -21.904    26.250
 -23.809    26.250
 -25.714    26.250
 -27.619    26.250
 -29.523    26.250
 -31.428    26.250
 -33.333    26.250
 -35.237    26.250
 -37.142    26.250
 -39.047    26.250
 -40.952    26.250
 -42.856    26.250
 -44.761    26.250
 -46.666    26.250
 -48.571    26.250
 -50.475    26.250
 -52.380    26.250
 -54.285    26.250
 -56.189    26.250
 -58.094    26.250
 -59.999    26.250
 -61.903    26.250
 -63.808    26.250
 -65.713    26.250
 -67.617    26.250
 -69.522    26.250
 -71.426    26.250
 -73.331    26.250
 -75.235    26.250
 -77.139    26.250
 -79.043    26.250
 -80.947    26.250
 -82.851    26.250
 -84.753    26.250
 -86.653    26.250
 -88.542    26.250
  88.542    28.125
  86.653    28.125
  84.753    28.125
  82.851    28.125
  80.947    28.125
  79.043    28.125
  77.139    28.125
  75.235    28.125
  73.331    28.125
  71.426    28.125
  69.522    28.125
  67.617    28.125
  65.713    28.125
  63.808    28.125
  61.903    28.125
  59.999    28.125
  58.094    28.125
  56.189    28.125
  54.285    28.125
  52.380    28.125
  50.475    28.125
  48.571    28.125
  46.666    28.125
  44.761    28.125
  42.856    28.125
  40.952    28.125
  39.047    28.125
  37.142    28.125
  35.237    28.125
  33.333    28.125
  31.428    28.125
  29.523    28.125
  27.619    28.125
  25.714    28.125
  23.809    28.125
  21.904    28.125
  20.000    28.125
  18.095    28.125
  16.190    28.125
  14.286    28.125
  12.381    28.125
  10.476    28.125
   8.571    28.125
   6.667    28.125
   4.762    28.125
   2.857    28.125
   0.952    28.125
  -0.952    28.125
  -2.857    28.125
  -4.762    28.125
  -6.667    28.125
  -8.571    28.125
 -10.476    28.125
 -12.381    28.125
 -14.286    28.125
 -16.190    28.125
 -18.095    28.125
 -20.000    28.125
 -21.904    28.125
 -23.809    28.125
 -25.714    28.125
